voice,ticker,action,conviction,confidence,horizon,thesis
fundamental,V,BUY,8,high,Long,"ROE 61.2% ROIC 41.5% net margin 50.8% with net_debt/EBITDA 0.32 - excellent returns on a clean balance sheet. Does the same job as MA without MA's 439.6 D/E screen fail. Moat judgement (payments network effects) is qualitative, not fetched."
fundamental,TSM,BUY,7,medium,Long,"ROE 40.0% op margin 60.3% net cash (net_debt/EBITDA -0.77). Case rests on those, NOT on roic_pct 183.7% or fcf_yield 32.85% - both implausible for a foundry and NOT caught by scout's suspect flag. Taiwan risk is unmeasurable here."
fundamental,GOOGL,BUY,7,medium,Long,"Pulled back from non-focus (rank 36). ROIC 28.6% net cash -0.70 revenue +24.2% at a trailing P/E of 16.97 - cheapest trailing multiple of any mega-cap-quality name in the set. Caution: fwd P/E 22.79 exceeds trailing, so consensus expects earnings to fall."
fundamental,NOVO-B.CO,BUY,6,medium,Long,"Pulled in from non-focus (rank 41). ROE 59.8% ROIC 35.6% op margin 42.5% net_debt/EBITDA 0.55 at P/E 11.39 and 42% of 52w range. Offset: 3y CAGR 20.4% collapsed to 2.1% ttm and fwd P/E 13.68 sits above trailing."
fundamental,ABB.ST,SELL,7,high,Medium,"FCF yield 0.09% against a 35.3x P/E - paying a premium multiple for cash generation that barely exists. Every other objection to ABB is degree; this one is kind. ROE 32.6% is real but not convertible to cash at this price."
valuation,VICI,BUY,7,medium,Medium,"P/E 9.85 fwd 8.50 div yield 7.24% at 4% of its 52-week range, with revenue +5.7% and 3y CAGR +15.5% - cheap without the shrinking revenue that explains EG/CMCSA/CHTR. No EV/EBITDA computed; net_debt/EBITDA 4.82 is the stated approximation."
valuation,UHS,BUY,6,medium,Medium,"Pulled in from non-focus (rank 29). P/E 6.92 fwd 7.06 PEG 1.14 FCF yield 4.98% with revenue +8.3% and net_debt/EBITDA 1.9, at 27% of range. Cleanest pure-value name in the set: cheap, growing, not over-levered, near its low."
valuation,AVGO,BUY,6,low,Medium,"Forward P/E 18.47 vs trailing 45.65 - the widest credible forward/trailing compression in the set - PEG 0.35, at 33% of range. Rank rose 22 to 12 while price fell 371.54 to 357.16. Confidence low: cannot verify the forward estimate's basis."
valuation,AZN.ST,BUY,6,medium,Long,"PEG 1.26, better than the 1.33 at purchase, and the only holding trading in the lower half of its 52-week range (37% vs 65-96% for everything else). No forward P/E available (S21 Swedish coverage gap) so the PEG cannot be cross-checked."
valuation,SHB-A.ST,SELL,7,medium,Medium,"PEG 18.85 and forward P/E 13.22 ABOVE trailing 12.60 - consensus expects earnings to fall - at 96% of its 52-week range with revenue -3.8%. Expensive on growth-adjusted terms, at the top of the range, with declining revenue."
valuation,ABB.ST,SELL,7,high,Medium,"P/E 35.34 with forward P/E 34.76 - essentially flat, so the market itself prices no re-rating - PEG 2.11 and FCF yield 0.09%. Richest multiple in the holdings with the thinnest cash conversion behind it."
growth,LLY,BUY,7,medium,Long,"Pulled in from non-focus (rank 19). Revenue +47.7% ttm against a 31.7% 3y CAGR - measured acceleration on a $1.02T base - PEG 1.11, fwd P/E 24.32 vs trailing 38.61, screens PASS. Cleanest non-cyclical growth in the set. Franchise durability is qualitative."
growth,NVDA,BUY,7,medium,Medium,"Revenue +105.9% ttm against a 100.0% 3y CAGR - growth has not decelerated on this measure, it is flat-to-accelerating, which is the specific signal. PEG 0.59, fwd P/E 14.90 vs trailing 29.16. No earnings-revision data exists to test it."
growth,AVGO,BUY,6,low,Medium,"Revenue +85.5% ttm vs 24.4% 3y CAGR = 3.5x acceleration, sharpest among large caps once suspect-flagged memory names are excluded. Discounted heavily: a large share is the VMware acquisition and no field here separates organic from inorganic."
growth,APP,BUY,5,low,Medium,"Revenue +52.8% ttm vs 24.8% 3y CAGR, PEG 0.69, ROIC 65.5%, screens PASS. But at 4% of its 52-week range with beta 2.488 - the market is not paying for this growth at all, which is a signal I cannot explain from any fetched field."
growth,SHB-A.ST,SELL,6,medium,Medium,"z_growth -1.267, the worst in the focus set. Revenue -3.8% ttm against a +4.2% 3y CAGR, and forward P/E above trailing. The growth profile is not merely weak, it is actively negative and consensus agrees."
defensive,VRTX,BUY,6,medium,Long,"Pulled in from non-focus (rank 46). Beta 0.320, D/E 9.77, net_debt/EBITDA -1.15 (net cash), margin 35.0%, revenue +12.5%. Cleanest defensive balance sheet in the set and non-cyclical revenue. Offset: 99% of 52w range, PEG 1.67."
defensive,CME,BUY,6,medium,Long,"Pulled in from non-focus (rank 45). Beta 0.275, net_debt/EBITDA 0.33, op margin 65.0%. An exchange is structurally long volatility - it is one of the few businesses that benefits from the scenario that hurts everything else. Offsets: PEG 4.75, revenue +0.8%, VIX 14.32 means the hedge is currently out of the money."
defensive,AZN.ST,BUY,7,high,Long,"Beta 0.205 is the lowest of any name in the entire 74-row candidate set, net_debt/EBITDA 1.38, healthcare. In a book whose picked-stock sleeve is 54.8% industrials, this is the only holding doing a different job in a downside scenario."
contrarian,VOLCAR-B.ST,BUY,6,low,Medium,"At 2% of its 52-week range with D/E only 30.8 and net_debt/EBITDA 0.22. The pessimism looks wrong specifically because revenue -16.9% is being read as terminal when this is margin distress, not balance-sheet distress. Offset: FCF yield -26.92%."
contrarian,VICI,BUY,6,medium,Medium,"At 4% of its 52-week range on a 7.24% dividend. The market prices VICI as a rate instrument; with the 10y at 4.77% and the 10y-2y curve at +0.43 most of that repricing has happened. The rent does not care about the discount rate, the multiple does."
contrarian,AVGO,BUY,5,low,Medium,"At 33% of its 52-week range while its own forward estimate improves and its funnel rank rose 22 to 12 on a falling price. Price and estimate moving in opposite directions is the specific contrarian condition, not merely having fallen."
contrarian,SHB-A.ST,SELL,5,low,Medium,"Nothing in this book is priced with pessimism - SHB-A 96%, INVE-A 91%, VOLV-B 80%, ATCO-B 79%, ALFA 78% of 52w range. SHB-A is the highest-range and weakest-fundamental of them. Conflicts directly with the Boman purchase cluster; not resolved."
macro,AZN.ST,BUY,7,medium,Long,"SEK-listed access with USD/EUR revenue is a genuine tailwind at DXY 118.75. Swedish real policy rate is ~+1.55% (CPI 0.2% vs 1.75%) vs the US at ~+0.09% - the tightest divergence in this sweep - which raises the value of a low-beta SEK-listed defensive."
macro,DE000A0S9GB0,BUY,6,medium,Long,"Gold sleeve is 2.54% against a 5% target. DXY at 118.75 is the same dollar headwind macro-regime names, but for a SEK-based buyer of a non-return crash hedge a strong dollar is a better entry, not a reason to wait. No live price feed (P7/S1)."
macro,TSM,BUY,5,low,Long,"Explicit regime downgrade, stated not buried: the business is excellent and it is the only non-US/non-European candidate, but a strong dollar plus binary Taiwan risk plus a US-dominated candidate set makes this a sizing question, not a merit question."
macro,EVO.ST,BUY,5,low,Medium,"Pulled in from non-focus (rank 33). SEK-denominated cash generator in a disinflating Sweden: op margin 57.5%, net cash -0.85, P/E 14.37 fwd 11.80, div 5.05%. Offsets: 98% of 52w range, revenue -1.2%, and regulatory risk no fetched field covers."
copycat,VOLCAR-B.ST,BUY,6,medium,Medium,"Three separate insiders bought on the open market in two months, all ABOVE today's 18.70: CEO Samuelsson 50,000 @ 19.295 (17/07), board member Nota 63,000 @ 19.60 (12/08), Severinson 15,306 @ 19.00 (17/07). Independent buyers, not one buyer repeating."
chairman,ABB.ST,SELL,7,high,Medium,"Sell all 4 shares. Thesis now recorded BROKEN; the only lever that moves the ACT-rated 54.8% Industrials concentration. Stated honestly: P/E fell 37.3 to 35.3 and PEG 2.71 to 2.11 since the last review - this is a rotation, not a deterioration."
chairman,AZN.ST,BUY,6,medium,Long,"Buy 1 share. Cleanest INTACT thesis, lowest beta in the set (0.205), only holding in the lower half of its 52w range. Capital verified: ISK cash 845.43 SEK funds nothing - execution pending the P3 PayPal conversion (~14,268 SEK), unexecuted 5th sweep."
chairman,VICI,BUY,6,medium,Medium,"Buy ~15 shares as the SECOND LEG of the ABB rotation, not standalone - if ABB does not sell there is no VICI. Only candidate opening a new sector that meets all three of portfolio's proceeds constraints. Macro dissents on 4.82x leverage at a 4.77% 10y."
chairman,VOLCAR-B.ST,HOLD-WATCH,4,low,Medium,"Add to the watchlist; no capital. Only Top-5 name reached from outside the focus set, pulled in independently by Contrarian and Copycat. Copycat says three insiders know something; Defensive says a -26.92% FCF yield needs a financing plan. Unresolved."
chairman,AVGO,HOLD-WATCH,5,low,Medium,"No action. Best new opportunity on the numbers - rank 22 to 12 on a falling price, fwd P/E 18.47 vs trailing 45.65 - but the entire case is a forward estimate whose organic/inorganic basis this system cannot inspect. Resolves at the first post-VMware comparison."
