voice,ticker,action,conviction,confidence,horizon,thesis
fundamental,V,BUY,8,Medium,Medium,"ROIC 41.5%, ROE 61.2%, net margin 50.8%, net debt/EBITDA 0.32, revenue +14.4% on a 10.9% 3y CAGR — the only name in the set with >40% ROIC, double-digit growth and no balance-sheet strain. Moat reasoning is qualitative; no field exists."
fundamental,TSM,BUY,8,Medium,Medium,"ROE 40.0%, net margin 49.9%, op margin 60.3%, net debt/EBITDA -0.77 (net cash), revenue +36.0% on 18.9% 3y CAGR. Case rests on ROE and net cash only: roic_pct 183.7% and fcf_yield 32.42% discarded as implausible and unflagged (S24)."
fundamental,MA,BUY,7,Medium,Medium,"Pulled back in against its screen FAIL: D/E 439.6% is a buyback-driven negative-equity artifact, not distress (net debt/EBITDA 0.59). ROIC 56.1%, margins 46.3/61.1, revenue +14.1% on a 13.8% 3y CAGR."
fundamental,ATCO-B.ST,BUY,6,Medium,Medium,"Best business among holdings on every capital-return field: ROIC 39.7%, ROE 25.7%, op margin 20.6%, net debt/EBITDA 0.50, ttm revenue +9.1% after FY25's -4.8% dip. Business-quality verdict only; price objection belongs to Valuation."
fundamental,APP,BUY,6,Low,Medium,"ROIC 65.5%, op margin 77.7%, net margin 64.6%, revenue +52.8% on 24.8% 3y CAGR, net debt/EBITDA 0.09 — strongest quality profile of 613 ranked names. Held at 6: ROE 203.7% is leverage-inflated and the 5%-of-52w-range price is unexplained (S29)."
fundamental,ABB.ST,SELL,7,Medium,Medium,"FCF yield 0.09% and FCF/revenue ~4.4% — worst cash conversion of any holding — while the forward multiple sits above trailing. Earnings-quality failure, not a growth failure. FCF is trailing-only, so capex timing cannot be excluded."
valuation,VICI,BUY,8,Medium,Medium,"9.19x trailing / 7.93x forward, 7.76% yield, 67.5% net margin, revenue +5.7% on a 15.5% 3y CAGR, 4% of 52w range, screen PASS — cheap with no deterioration in any fetched field. No EV/EBITDA exists; approximating from net debt/EBITDA 4.82."
valuation,TSM,BUY,7,Medium,Medium,"PEG 0.83, forward 19.8x against trailing 32.5x on 36% growth with net cash. Background knowledge, labelled: leading-edge foundry peers have traded 25-35x trailing, so this is a discount to the sector's own norm."
valuation,CMCSA,BUY,6,Low,Medium,"Trailing 7.29x / forward 6.35x, FCF yield 15.74% (largest in the focus set), 5.80% dividend, 14% of range. At 6.4x forward even zero growth clears a hurdle. Revenue -1.2%; PEG 142.98 is suspect-flagged and not reasoned from."
valuation,AZN.ST,BUY,6,Medium,Medium,"PEG 1.20, improved from 1.33, at 47% of range. Background knowledge, labelled: large-cap pharma typically 15-20x trailing, so the raw 24.9x is a premium while the growth-adjusted figure is not. forward_pe MISSING every run (S21)."
valuation,FIS,BUY,5,Low,Medium,"PEG 0.19, forward 5.32x, FCF yield 14.44%, 3% of range, screen PASS. Held low deliberately: +29.1% ttm revenue against a -9.8% 3y CAGR is a divestiture pattern, net debt/EBITDA 5.82, and margins/D-E absent from this fetch."
valuation,ABB.ST,SELL,7,Medium,Medium,"Forward P/E 36.53 above trailing 35.97 on 14.2% revenue growth, screen FAIL, price_to_book 109.9 suspect and unusable. No margin of safety on any read available."
valuation,ATCO-B.ST,SELL,5,Medium,Medium,"Trailing 31.33x, PEG 2.09, 75% of 52w range. Background knowledge, labelled: industrials norm is mid-teens to low-20s. Quality is not disputed; the price is."
growth,NVDA,BUY,8,Medium,Medium,"Revenue +105.9% on a 100.0% 3y CAGR, net margin 63.7%, PEG 0.47, forward 14.17x against trailing 28.10x, net cash. The forward/trailing gap on a 106%-growth name is the signal this lens exists for. No order-book or revisions data."
growth,TSM,BUY,7,Medium,Medium,"+36.0% revenue on an 18.9% 3y CAGR from a far larger base than NVDA, with the leading-edge monopoly position, at 19.8x forward. Same AI-capex dependency one step down the chain."
growth,APP,BUY,6,Low,Medium,"+52.8% revenue on a 24.8% 3y CAGR with a 77.7% operating margin — growth and operating leverage together, PEG 0.67. Held at 6: at 5% of its 52w range the market disagrees and I have no revision or TAM data to adjudicate."
growth,VOLV-B.ST,BUY,5,Low,Medium,"Forward 13.37x below trailing 18.90x, PEG 0.97, and ttm revenue turned positive (+2.7%) after FY23-25 ran 552.8B-526.8B-479.2B. An inflection — but the 3y CAGR is +0.4%, so one positive reading is thin. D/E 147.35."
growth,ABB.ST,SELL,5,Medium,Medium,"14.2% revenue growth that is not reaching earnings: the forward/trailing inversion says the growth is being handed back in margin. A growth story only in the revenue line."
growth,SHB-A.ST,SELL,4,Medium,Medium,"Revenue -3.8%, z_growth -1.278 (worst of any holding), forward above trailing, 99% of 52w range. Noted as immaterial at one share (155.05 SEK)."
defensive,VRTX,BUY,7,Medium,Medium,"Pulled in from outside focus: beta 0.320, net debt/EBITDA -1.15 (net cash), D/E 9.77, net margin 35.0%, revenue +12.5% on a 10.4% 3y CAGR. Only candidate with net cash, sub-10 D/E, sub-0.4 beta and double-digit growth at once."
defensive,MO,BUY,6,Low,Medium,"Beta 0.494, net margin 39.0%, op margin 76.1%, 6.39% dividend, 7.77% FCF yield, net debt/EBITDA 1.41 — canonical recession-insensitive earnings. roe_pct and de_ratio both MISSING (negative book equity), so resilience rests on net debt/EBITDA alone."
defensive,CME,BUY,6,Medium,Medium,"Beta 0.275, net debt/EBITDA 0.33, D/E 14.59, net margin 63.4%. Exchange volumes rise in a volatility shock, so this has positive downside convexity rather than merely low beta. You pay for it: 0.8% growth, PEG 4.80."
defensive,AZN.ST,BUY,6,Medium,Medium,"Beta 0.205, lowest of any holding, and explicitly the ballast against a 54.05% industrials sleeve. Caveat: 0.19% FCF yield and net debt/EBITDA 1.38 put the defensiveness in the revenue line, not the cash line."
defensive,VOLV-B.ST,SELL,4,Low,Medium,"D/E 147.35 and net debt/EBITDA 3.8 — most leveraged holding into the most cyclical end-market. Stated as the risk view only; Growth's inflection case may win. Declining to flag ABB.ST: D/E 55.75, net debt/EBITDA 0.46, no risk case."
contrarian,VICI,BUY,7,Medium,Medium,"Sector pessimism applied to a company whose own numbers did not move: five runs at rank 8-9 with revenue +5.7%, margin 67.5%, screen PASS, while price went 26.51-25.77-25.65-24.73-24.11. The market repriced rates, not the asset."
