ticker,status,sector,price,pe,fwd_pe,peg,margin_pct,roe_pct,roic_pct,de_ratio,net_debt_to_ebitda,rev_growth_pct,fcf_b,div_yield_pct,mcap_b,beta,note
AAPL,FAIL,Technology,311.30002,35.475918,32.43169,2.49,27.6,148.8,62.7,78.445,0.13,16.4,107.72,0.35,4514.7,1.086,trailing_pe=35.475918 > 30.0; forward_pe=32.43169 > 25.0; peg_ratio=2.49 > 2.0
ABB.ST,FAIL,Industrials,943.8,36.759907,35.908916,2.66,14.1,32.6,20.6,55.751,0.46,14.2,1.57,1.17,1715.4,1.011,trailing_pe=36.759907 > 30.0; forward_pe=35.908916 > 25.0; peg_ratio=2.66 > 2.0
ABBV,FAIL,Healthcare,261.83,74.63662,16.273165,0.43,9.8,,31.4,,2.09,10.2,16.87,2.61,468.2,0.28,trailing_pe=74.63662 > 30.0
ALFA.ST,FAIL,Industrials,548.4,28.329128,25.578852,2.88,11.6,19.1,13.6,45.751,1.16,7.7,4.88,1.6,232.0,0.782,forward_pe=25.578852 > 25.0; peg_ratio=2.88 > 2.0
AMD,FAIL,Technology,469.455,120.419846,30.559921,1.01,15.6,10.2,7.9,6.361,-0.92,50.1,8.84,,772.6,2.489,trailing_pe=120.419846 > 30.0; forward_pe=30.559921 > 25.0
AMZN,PASS,Consumer Cyclical,260.11002,20.790194,24.890984,1.38,17.4,30.6,10.4,45.617,0.76,19.6,3.22,,2789.7,1.454,
ASML,FAIL,Technology,1750.31,59.526157,29.199333,2.1,30.1,53.9,401.8,9.092,-0.41,21.3,8.44,0.51,677.5,1.365,trailing_pe=59.526157 > 30.0; forward_pe=29.199333 > 25.0; peg_ratio=2.1 > 2.0
ASSA-B.ST,MISSING,Industrials,352.4,24.043419,,1.66,10.8,15.6,,64.103,2.33,3.3,18.4,1.81,,0.846,"missing: forward_pe,market_cap"
ATCO-A.ST,FAIL,Industrials,201.2,37.422306,31.934477,2.69,15.7,25.7,25.7,33.668,0.5,9.1,25.97,1.47,998.7,1.071,trailing_pe=37.422306 > 30.0; forward_pe=31.934477 > 25.0; peg_ratio=2.69 > 2.0
AVGO,FAIL,Technology,364.03,61.306156,18.890873,0.41,38.8,37.3,19.1,74.018,1.08,47.9,27.21,0.71,1752.9,1.473,trailing_pe=61.306156 > 30.0
AZN.ST,MISSING,Healthcare,1560.5,24.93677,,1.44,17.0,22.0,13.1,64.225,1.38,6.4,4.91,1.91,2446.5,0.211,missing: forward_pe
BTC-USD,MISSING,,77727.62,,,,,,,,,,,,1549.0,,"missing: trailing_pe,forward_pe,peg_ratio,revenue_growth,profit_margins,debt_to_equity"
